tag,res,feat,clf,k_shot,seed,acc,macro_f1
vitb16-official,448_fliptta,cls,ptmap,3,42,53.44009489916963,0.5216722618848885
vitb16-official,448_fliptta,cls,ptmap,3,123,54.03321470937129,0.525448940719535
vitb16-official,448_fliptta,cls,ptmap,3,456,53.618030842230134,0.5254665156239012
vitb16-official,448_fliptta,cls,ptmap,3,789,52.52075919335706,0.5110470720109026
vitb16-official,448_fliptta,cls,ptmap,3,999,53.469750889679716,0.5220856940193938
vitb16-official,448_fliptta,cls,proto,5,42,58.505338078291814,0.5708732474847626
vitb16-official,448_fliptta,cls,proto,5,123,57.65124555160143,0.5646990630833951
vitb16-official,448_fliptta,cls,proto,5,456,58.07829181494662,0.5697628117120551
vitb16-official,448_fliptta,cls,proto,5,789,58.79003558718862,0.5830245909173009
vitb16-official,448_fliptta,cls,proto,5,999,58.612099644128115,0.5753444554987533
vitb16-official,448_fliptta,cls,knn,5,42,60.320284697508896,0.5928282398333007
